Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2016-08-03 23:47:09,"Shoulders/Arms",2m,"Overhead Press (Barbell)",1,85.0,3,0,0,"","",
2016-08-03 23:47:09,"Shoulders/Arms",2m,"Overhead Press (Barbell)",2,95.0,3,0,0,,,
2016-08-03 23:47:09,"Shoulders/Arms",2m,"Overhead Press (Barbell)",3,105.0,6,0,0,,,
2016-08-03 23:47:09,"Shoulders/Arms",2m,"Overhead Press (Dumbbell)",1,90.0,9,0,0,"",,
2016-08-03 23:47:09,"Shoulders/Arms",2m,"Overhead Press (Dumbbell)",2,90.0,7,0,0,,,
2016-08-03 23:47:09,"Shoulders/Arms",2m,"Overhead Press (Dumbbell)",3,90.0,7,0,0,,,
2016-08-03 23:47:09,"Shoulders/Arms",2m,"Triceps Dip",1,65.0,12,0,0,"",,
2016-08-03 23:47:09,"Shoulders/Arms",2m,"Triceps Dip",2,70.0,12,0,0,,,
2016-08-03 23:47:09,"Shoulders/Arms",2m,"Triceps Dip",3,70.0,12,0,0,,,
2016-08-03 23:47:09,"Shoulders/Arms",2m,"Bicep Curl (Dumbbell)",1,60.0,10,0,0,"",,
2016-08-03 23:47:09,"Shoulders/Arms",2m,"Bicep Curl (Dumbbell)",2,60.0,10,0,0,,,
2016-08-03 23:47:09,"Shoulders/Arms",2m,"Bicep Curl (Dumbbell)",3,60.0,10,0,0,,,
2016-08-03 23:47:09,"Shoulders/Arms",2m,"Bicep Curl (Dumbbell)",4,60.0,10,0,0,,,
2016-08-03 23:47:09,"Shoulders/Arms",2m,"Triceps Extension",1,35.0,10,0,0,"",,
2016-08-03 23:47:09,"Shoulders/Arms",2m,"Triceps Extension",2,35.0,9,0,0,,,
2016-08-03 23:47:09,"Shoulders/Arms",2m,"Triceps Extension",3,35.0,9,0,0,,,
2016-08-03 23:47:09,"Shoulders/Arms",2m,"Bicep Curl (Machine)",1,60.0,8,0,0,"",,
2016-08-03 23:47:09,"Shoulders/Arms",2m,"Bicep Curl (Machine)",2,60.0,7,0,0,,,
2016-08-03 23:47:09,"Shoulders/Arms",2m,"Bicep Curl (Machine)",3,60.0,7,0,0,,,
2016-08-03 23:47:09,"Shoulders/Arms",2m,"Tricep Pushdown",1,79.99999999999999,12,0,0,"",,
2016-08-03 23:47:09,"Shoulders/Arms",2m,"Tricep Pushdown",2,85.0,8,0,0,,,
2016-08-03 23:47:09,"Shoulders/Arms",2m,"Tricep Pushdown",3,85.0,8,0,0,,,
2016-12-27 23:30:27,"Back",14m,"Chin Up",1,54.99999999999999,5,0,0,"","",
2016-12-27 23:30:27,"Back",14m,"Chin Up",2,35.0,6,0,0,,,
2016-12-27 23:30:27,"Back",14m,"Chin Up",3,20.0,8,0,0,,,
2016-12-27 23:30:27,"Back",14m,"Pull Up",1,27.499999999999996,8,0,0,"",,
2016-12-27 23:30:27,"Back",14m,"Pull Up",2,27.499999999999996,8,0,0,,,
2016-12-27 23:30:27,"Back",14m,"Pull Up",3,27.499999999999996,8,0,0,,,
2016-12-27 23:30:27,"Back",14m,"Shrug (Barbell)",1,175.0,10,0,0,"",,
2016-12-27 23:30:27,"Back",14m,"Shrug (Barbell)",2,175.0,10,0,0,,,
2016-12-27 23:30:27,"Back",14m,"Shrug (Barbell)",3,175.0,10,0,0,,,
2016-12-27 23:30:27,"Back",14m,"Deadlift (Barbell)",1,265.0,3,0,0,"",,
2016-12-27 23:30:27,"Back",14m,"Deadlift (Barbell)",2,225.0,5,0,0,,,
2016-12-27 23:30:27,"Back",14m,"Deadlift (Barbell)",3,225.0,5,0,0,,,
2016-12-27 23:30:27,"Back",14m,"Seated Row (Cable)",1,190.0,8,0,0,"",,
2016-12-27 23:30:27,"Back",14m,"Seated Row (Cable)",2,190.0,7,0,0,,,
2016-12-27 23:30:27,"Back",14m,"Seated Row (Cable)",3,190.0,7,0,0,,,
2016-12-29 23:09:58,"Chest Tris",2m,"Incline Bench Press (Barbell)",1,149.99999999999997,4,0,0,"","",
2016-12-29 23:09:58,"Chest Tris",2m,"Incline Bench Press (Barbell)",2,135.0,5,0,0,,,
2016-12-29 23:09:58,"Chest Tris",2m,"Incline Bench Press (Barbell)",3,114.99999999999999,10,0,0,,,
2016-12-29 23:09:58,"Chest Tris",2m,"Close Grip Incline Press",1,120.0,8,0,0,"",,
2016-12-29 23:09:58,"Chest Tris",2m,"Close Grip Incline Press",2,120.0,7,0,0,,,
2016-12-29 23:09:58,"Chest Tris",2m,"Close Grip Incline Press",3,120.0,7,0,0,,,
2016-12-29 23:09:58,"Chest Tris",2m,"Incline Dumbbell Press ",1,110.00000000000003,10,0,0,"",,
2016-12-29 23:09:58,"Chest Tris",2m,"Incline Dumbbell Press ",2,110.00000000000003,8,0,0,,,
2016-12-29 23:09:58,"Chest Tris",2m,"Triceps Extension",1,50.0,11,0,0,"",,
2016-12-29 23:09:58,"Chest Tris",2m,"Triceps Extension",2,50.0,10,0,0,,,
2016-12-29 23:09:58,"Chest Tris",2m,"Triceps Extension",3,50.0,10,0,0,,,
2016-12-29 23:09:58,"Chest Tris",2m,"Triceps Extension",4,50.0,9,0,0,,,
2016-12-29 23:09:58,"Chest Tris",2m,"Tricep Pushdown",1,45.0,10,0,0,"",,
2016-12-29 23:09:58,"Chest Tris",2m,"Tricep Pushdown",2,45.0,10,0,0,,,
2016-12-29 23:09:58,"Chest Tris",2m,"Tricep Pushdown",3,45.0,10,0,0,,,
2016-12-31 15:30:53,"Back",4m,"Chin Up",1,57.49999999999999,4,0,0,"","",
2016-12-31 15:30:53,"Back",4m,"Chin Up",2,57.49999999999999,4,0,0,,,
2016-12-31 15:30:53,"Back",4m,"Chin Up",3,25.0,8,0,0,,,
2016-12-31 15:30:53,"Back",4m,"Chin Up",4,37.49999999999999,6,0,0,,,
2016-12-31 15:30:53,"Back",4m,"Pull Up",1,30.0,8,0,0,"",,
2016-12-31 15:30:53,"Back",4m,"Pull Up",2,30.0,7,0,0,,,
2016-12-31 15:30:53,"Back",4m,"Pull Up",3,30.0,7,0,0,,,
2016-12-31 15:30:53,"Back",4m,"Seated Row (Cable)",1,190.0,8,0,0,"",,
2016-12-31 15:30:53,"Back",4m,"Seated Row (Cable)",2,190.0,7,0,0,,,
2016-12-31 15:30:53,"Back",4m,"Seated Row (Cable)",3,190.0,7,0,0,,,
2016-12-31 15:30:53,"Back",4m,"Deadlift High Pull (Barbell)",1,110.00000000000003,6,0,0,"",,
2016-12-31 15:30:53,"Back",4m,"Deadlift High Pull (Barbell)",2,110.00000000000003,6,0,0,,,
2016-12-31 15:30:53,"Back",4m,"Deadlift High Pull (Barbell)",3,110.00000000000003,6,0,0,,,
2016-12-31 15:30:53,"Back",4m,"Deadlift High Pull (Barbell)",4,110.00000000000003,6,0,0,,,
2016-12-31 15:30:53,"Back",4m,"Strict Military Press (Barbell)",1,110.00000000000003,4,0,0,"",,
2016-12-31 15:30:53,"Back",4m,"Strict Military Press (Barbell)",2,110.00000000000003,5,0,0,,,
2016-12-31 15:30:53,"Back",4m,"Strict Military Press (Barbell)",3,100.0,4,0,0,,,
